parking,parking_count
1,1
2,1
2,1
1,1
1,1
,0
1,1
1,1
B2-29,1
1,1
"B2-29,B2-30",2
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
,0
2,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
P1-83,1
1,1
1,1
,0
1,1
1,1
,0
B1-29,1
2,1
1,1
G-05,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
2,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
B-244,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
B2-173,1
1,1
1,1
,0
1,1
B-88,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
B2-287,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
L1-129,1
"L2-232,L2-233",2
L2-219,1
1,1
B1-48,1
SR B5-215,1
P1-13,1
1,1
1,1
,0
G-34,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
,0
1,1
3,1
B-186,1
1,1
2,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
3,1
1,1
P2-46,1
1,1
1,1
1,1
B2-347,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
G-11,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
G-14,1
1,1
,0
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
,0
1,1
1,1
,0
1,1
1,1
2,1
1,1
,0
1,1
,0
P1-32,1
P1-34,1
1,1
P1-36,1
P1-37,1
1,1
1,1
,0
3,1
,0
1,1
2,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
P3-40,1
P3-41,1
P4-01,1
P4-02,1
1,1
P1-45,1
P4-03,1
P4-04,1
P4-29,1
P4-30,1
P4-31,1
P4-32,1
1,1
3(Integrated),1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
,0
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
EU,0
2,1
1,1
1,1
1,1
,0
P5-69,1
1,1
G-102,1
1,1
1,1
2,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
B3-15,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
,0
B1-109,1
1,1
1,1
1,1
P3-36,1
G-14,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
3,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
3(Integrated),1
1,1
1,1
P3-122,1
1,1
1,1
1,1
1,1
1,1
1  0,1
1,1
,0
1,1
"P2-107, P2-T17",2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
3(Integrated),1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
EU,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
2,1
GR B5-171,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
