area_en,project_name_en_count,nearest_landmark_en_count,nearest_metro_en_count,nearest_mall_en_count,master_project_en_count,latitude,longitude
Al Yelayiss 2,16,0,0,0,0,24.9982628,55.2867437907612
Al Yelayiss 5,0,0,0,0,0,24.9707278,55.265407
Al Yufrah 1,13,0,0,0,0,25.0029883,55.4387395
BARSHA HEIGHTS,11,1,1,2,0,25.0982842,55.1757823
BLUEWATERS,1,1,1,1,0,25.07954805,55.12170421845323
BURJ KHALIFA,56,2,2,1,0,25.1970336,55.27413294647308
BUSINESS BAY,132,2,2,1,0,25.18942655,55.26481901527489
Bukadra,7,0,0,0,0,25.1765148,55.3257751
Business Bay,2,0,0,0,0,25.18942655,55.26481901527489
CHERRYWOODS,1,1,0,0,0,25.01600445,55.2909518531374
CITY OF ARABIA,2,1,0,0,0,25.0924395,55.336933
CITY WALK,11,1,1,1,0,25.2081589,55.26187365641171
DAMAC HILLS,43,1,0,0,0,25.0264384,55.251228
DISCOVERY GARDENS,0,1,1,1,0,25.0352571,55.1454134
DMCC-EZ2,1,1,1,1,0,25.0708766,55.1387113
DOWN TOWN JABAL ALI,5,1,1,1,0,24.966807,55.15825718982431
DUBAI CREEK HARBOUR,34,1,1,2,0,25.197978,55.36037960558315
DUBAI DESIGN DISTRICT,1,1,1,1,0,25.188132,55.29744343116474
DUBAI GOLF CITY,1,1,0,0,0,25.01130525,55.23426739724147
DUBAI HARBOUR,11,0,0,0,0,25.0956188,55.13800090659106
DUBAI HEALTHCARE CITY - PHASE 1,0,1,1,1,0,25.23181945,55.32250393537943
DUBAI HEALTHCARE CITY - PHASE 2,11,2,3,1,0,25.23181945,55.32250393537943
DUBAI HILLS,42,5,2,2,1,25.0974142,55.2684401
DUBAI INDUSTRIAL CITY,4,2,1,0,0,24.8399006,55.0662934
DUBAI INTERNATIONAL ACADEMIC CITY,0,0,0,1,0,25.107765800000003,55.40161073290589
DUBAI INVESTMENT PARK FIRST,4,1,3,1,0,24.966807,55.15825718982431
DUBAI INVESTMENT PARK SECOND,3,2,2,1,0,24.98204425,55.1964194133587
DUBAI LAND RESIDENCE COMPLEX,32,1,0,0,0,25.0853591,55.382978
DUBAI LIFESTYLE CITY,0,1,0,0,0,25.04260265,55.28216284609378
DUBAI MARINA,62,2,7,1,0,25.0786415,55.1352524
DUBAI MARITIME CITY,13,1,1,1,0,25.262151,55.26537042587559
DUBAI PRODUCTION CITY,18,1,3,2,0,25.0321324,55.19130701407138
DUBAI SCIENCE PARK,8,1,2,1,0,25.068451596904332,55.245708496699365
DUBAI SOUTH,17,2,1,0,0,24.9144391,55.1615128
DUBAI SPORTS CITY,69,1,3,2,0,25.0321379,55.219353
DUBAI STUDIO CITY,12,1,2,1,0,25.0415641,55.2522587
DUBAI WATER CANAL,10,1,1,1,0,25.1884394,55.2473226
DUBAI WATER FRONT,2,2,1,0,0,24.9198548,55.00868
Dubai International Airport,0,1,1,1,0,25.2521287,55.365715576690505
Dubai Investment Park First,5,0,0,0,0,25.0022999999896,55.1586085474893
Dubai Investment Park Second,3,0,0,0,0,24.98204425,55.1964194133587
EMAAR SOUTH,11,1,0,0,0,24.8649069,55.14376334914999
EMIRATE LIVING,14,1,4,1,0,25.0639869,55.1645849
Eyal Nasser,0,1,2,1,0,25.2743483,55.3041029
FALCON CITY OF WONDERS,3,1,0,0,0,25.0955281,55.3393384
GRAND VIEWS,1,1,1,1,0,25.1456862,55.300144314906376
Ghadeer Al tair,1,1,2,1,0,25.1509135,55.2720063
Grayteesah,0,0,0,0,0,24.87115215,55.5072782974985
HORIZON,3,1,1,1,0,25.19475815,55.27805910442858
Hadaeq Sheikh Mohammed Bin Rashid,15,0,0,0,0,25.119016594266267,55.26187658505671
Hessyan First,0,0,0,0,0,24.9616766044913,55.0099521049722
Hessyan Second,0,0,0,0,0,24.934579084417,54.9736020927228
Hor Al Anz,0,1,2,2,0,25.2822545,55.348484
Hor Al Anz East,0,1,2,1,0,25.2822545,55.348484
IBN BATTUTA ,0,1,1,1,0,25.0466788,55.1174939
INTERNATIONAL CITY PH 1,18,1,1,1,0,25.1550149,55.2343471
INTERNATIONAL CITY PH 2 & 3,14,0,1,1,0,25.1316312,55.38673493715861
Island 2,3,1,1,1,0,24.3815383,54.6913221
JABEL ALI HILLS,0,1,0,0,0,24.9198548,55.00868
JADDAF WATERFRONT,15,1,2,2,0,25.22683115,55.33808609246107
JUMEIRA BAY,2,1,2,1,0,25.2136677,55.2365845
JUMEIRAH BEACH RESIDENCE,3,1,2,1,0,25.0778021,55.13518094856796
JUMEIRAH GOLF,21,1,2,2,0,25.0177925,55.1633352
JUMEIRAH HEIGHTS,1,1,1,1,0,25.06553675,55.14557004705467
JUMEIRAH ISLANDS,2,1,3,1,0,25.0570585,55.15614637904315
JUMEIRAH LAKES TOWERS,61,2,3,1,0,25.07238315,55.14374317909845
JUMEIRAH LIVING,3,1,1,1,0,25.0875891,55.1471081
JUMEIRAH PARK,6,1,3,2,0,25.0469412,55.15481775751905
JUMEIRAH VILLAGE CIRCLE,302,1,2,2,1,25.0527521,55.20576633171218
JUMEIRAH VILLAGE TRIANGLE,44,1,4,2,1,25.0498433,55.1907008
Jabal Ali,0,0,0,0,0,25.0578769,55.1273617
Jabal Ali First,23,1,1,1,0,25.02836415,55.1438277178559
Jabal Ali Industrial First,0,1,3,1,0,24.982860074634765,55.11508202845593
Jumeirah First,1,1,4,1,0,25.1970336,55.27413294647308
Jumeirah Second,1,1,1,1,0,24.327962300000003,54.53732275
Jumeirah Third,0,3,2,1,0,25.1970336,55.27413294647308
LA MER,8,1,3,1,0,25.1970336,55.27413294647308
